PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
101,9,Worst experience ever.,2025-03-25 02:10:08,104,42,"#tech,#bug,#mood",0.34
102,6,I’m impressed with the speed.,2025-03-17 01:10:08,39,4,"#tech,#fail,#design",0.79
103,6,Absolutely love the UX!,2025-03-25 01:10:08,61,39,#design,0.94
104,9,Great performance on mobile.,2025-03-23 17:10:08,6,24,"#fail,#love",-0.06
105,3,Can’t stop using it!,2025-03-25 06:10:08,24,36,"#design,#tech",0.93
106,9,I’m impressed with the speed.,2025-03-23 13:10:08,56,19,"#mood,#UX,#bug",-0.34
107,4,Great performance on mobile.,2025-03-17 23:10:08,77,22,#bug,-0.6
108,7,Such a smooth interface!,2025-03-19 11:10:08,101,40,#design,0.55
109,4,Worst experience ever.,2025-03-19 22:10:08,108,32,"#mood,#social,#UX",-0.57
110,10,Can’t stop using it!,2025-03-20 18:10:08,7,14,"#cleanUI,#social",-0.08
111,10,Can’t stop using it!,2025-03-22 02:10:08,58,48,"#AI,#social",-0.86
112,3,Such a smooth interface!,2025-03-22 19:10:08,12,46,#love,-0.08
113,5,Can’t stop using it!,2025-03-22 04:10:08,145,34,"#cleanUI,#love,#bug",-0.65
114,9,Absolutely love the UX!,2025-03-20 11:10:08,133,41,"#design,#social,#fail",0.37
115,3,Worst experience ever.,2025-03-23 05:10:08,39,33,#bug,0.26
116,1,Needs dark mode ASAP!,2025-03-18 02:10:08,76,18,"#design,#fail",0.29
117,3,Absolutely love the UX!,2025-03-25 23:10:08,76,45,"#love,#mood",0.23
118,7,I’m impressed with the speed.,2025-03-19 10:10:08,106,45,"#fail,#cleanUI",0.69
119,6,Just another day...,2025-03-20 05:10:08,16,41,"#design,#cleanUI",-0.1
120,6,Just another day...,2025-03-17 13:10:08,125,17,"#cleanUI,#social,#UX",-0.77
121,2,Such a smooth interface!,2025-03-21 12:10:08,55,35,#design,0.14
122,6,Needs dark mode ASAP!,2025-03-22 12:10:08,61,43,#bug,-0.34
